Year,Disaster Type,Disaster Subtype,Event Name,Country,ISO,Region,Continent,Location,Origin,Latitude,Longitude,Local Time,Start Year,Start Month,Start Day,End Year,End Month,End Day,Total Deaths,No Injured,No Affected,No Homeless,Total Affected,Total Damages ('000 US$),"Total Damages, Adjusted ('000 US$)",CPI
1948,Volcanic activity,Ash fall,,Chile,CHL,South America,Americas,,,,,,1948,10,,1948,10,,100,,,,,,,8.228155773
1980,Volcanic activity,Ash fall,Mount St.Helen,United States of America (the),USA,Northern America,Americas,Washington state,,,,,1980,5,18,1980,5,18,90,,,2500,2500,860000,3054098,28.15888663
1966,Volcanic activity,Ash fall,Mt. Awu,Indonesia,IDN,South-Eastern Asia,Asia,Sangi Talaud,,,,,1966,8,12,1966,8,12,88,2000,40000,,42000,,,11.09099715
1968,Volcanic activity,Ash fall,Mount Arenal,Costa Rica,CRI,Central America,Americas,North,,,,,1968,7,29,1968,7,29,87,,12391,3280,15671,5000,42068,11.88544651
1950,Volcanic activity,Ash fall,,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,1950,9,,1950,9,,84,,,,,,,8.23955211
1979,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Merapi (Ouest Sumatra),,,,,1979,5,,1979,5,,82,,,,,,,24.79884057
1993,Volcanic activity,Ash fall,Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Ligao, Camalig, Guinobatan, Daraga, Legaspi (Albay province)",,13.3 N,123.7 E,,1993,2,6,1993,3,19,79,9,108000,57000,165009,488,989,49.36133216
2021,Volcanic activity,Pyroclastic flow,Mount Semeru,Indonesia,IDN,South-Eastern Asia,Asia,Lumajang Regency; Malang Regency; Blitar district (Java Province),,,,14:50,2021,12,4,2021,12,9,71,27,10965,,10992,20000,21601,92.59019293
1977,Volcanic activity,Ash fall,Nyiragongo,Ethiopia,ETH,Eastern Africa,Africa,,,,,,1977,1,,1977,1,,64,,,,,,,20.7098325
2014,Volcanic activity,,Mt. Ontake,Japan,JPN,Eastern Asia,Asia,"Kaidamura, Mitakemura, Ootakimura districts (Nagano province), Asahimura, Osakatyoo, Takanemura districts (Gifu province)",,35.893,137.48,,2014,9,27,2014,9,30,63,69,,,69,,,80.89262372
1994,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,Java Isl.,,7.5 S,110.4 E,10:15,1994,11,22,1994,12,,58,22,2700,,2722,,,50.64840266
1991,Volcanic activity,Ash fall,Unzen,Japan,JPN,Eastern Asia,Asia,Kyushu Island,,32.75 N,130.3 E,,1991,6,3,1991,6,8,43,20,10000,,10020,10000,21488,46.53662061
1976,Volcanic activity,Ash fall,,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,1976,,,1976,,,40,,,,,,,19.44554409
1954,Volcanic activity,Ash fall,,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,1954,1,,1954,1,,37,,,,,,,9.196844472
1984,Volcanic activity,Ash fall,Volcanic lake Monoum,Cameroon,CMR,Middle Africa,Africa,Lake Monoun,,,,,1984,8,15,1984,8,15,37,,,,,,,35.49688113
1990,Volcanic activity,Ash fall,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,East Java,,7.9 S,112.3 E,11:41,1990,2,10,1990,2,12,33,,10265,,10265,8000,17919,44.64587744
2014,Volcanic activity,Ash fall,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,Karo district (Sumatera Utara province),,3.17,98.392,,2014,2,1,2014,2,1,32,2,32000,,32002,83000,102605,80.89262372
1997,Volcanic activity,Ash fall,Soufriere,Montserrat,MSR,Caribbean,Americas,Plymouth,,16.45 N,62.14 W,,1997,6,25,1997,6,25,32,,4000,,4000,8000,14586,54.84845417
2021,Volcanic activity,Lava flow,Mount Nyiragongo,Congo (the Democratic Republic of the),COD,Middle Africa,Africa,Goma,Seismic activities,,,,2021,5,22,2021,5,23,32,,288404,,288404,,,92.59019293
1994,Volcanic activity,Ash fall,Mt. Barujari,Indonesia,IDN,South-Eastern Asia,Asia,Lombok (West Nusa Tenggara province),,,,,1994,11,3,1994,11,3,31,,,,,,,50.64840266
1982,Volcanic activity,Ash fall,Mt. Galunggung,Indonesia,IDN,South-Eastern Asia,Asia,Java,,,,,1982,4,5,1982,4,5,30,,300000,,300000,160000,485231,32.97399781
1900,Volcanic activity,Ash fall,,Japan,JPN,Eastern Asia,Asia,,,,,,1900,7,7,1900,7,7,30,,,,,,,2.849084409
1952,Volcanic activity,Ash fall,Myozin-Syo,Japan,JPN,Eastern Asia,Asia,"Myozin-Syo, Izu Islands",,,,,1952,9,24,1952,9,24,29,,29,,29,,,9.094277433
1944,Volcanic activity,Ash fall,Mt. Vesuve,Italy,ITA,Southern Europe,Europe,Napoli,,40.821,14.426,,1944,3,18,1944,3,18,26,,,14000,14000,,,6.028662609
2019,Volcanic activity,Ash fall,Whakaari/White Island volcano,New Zealand,NZL,Australia and New Zealand,Oceania,Whakaari/White Island,,,,,2019,12,9,2019,12,9,21,23,,,23,,,87.35800677
1997,Volcanic activity,Ash fall,Popocatepelt,Mexico,MEX,Central America,Americas,Popocatepelt,,19.02 N,98.38 W,,1997,7,1,1997,7,1,20,,,,,,,54.84845417
1903,Volcanic activity,Ash fall,Mount Karthala,Comoros (the),COM,Eastern Africa,Africa,,,,,,1903,,,1903,,,17,,,,,,,3.077011162
2008,Volcanic activity,Ash fall,Nevado del Huila,Colombia,COL,South America,Americas,"Paez Belalc zar, Toez, Avirama, Togoima, Cohetango, Talaga, Wila, Los Guadalupes, El Jardin, Bello Horizonte, Las Americas, Avenida Santaander, El Centro, San Fernando, La Primavera, Panamericano, Villa del Norte, El Salado, Hoez, Ricaurte, Pickwe Tha Fim (Paez district, Cauca Province), Inza district (Cauca Province),Tesalia, Nataga, Paicol, La Plata (Huila department)",,2.93,-76.03,21:45,2008,11,20,2008,11,20,16,7,8000,,8007,,,73.56874554
1963,Volcanic activity,Ash fall,,Costa Rica,CRI,Central America,Americas,Mesata Central,,,,,1963,3,18,1963,3,18,15,200,5000,,5200,,,10.46454239
1993,Volcanic activity,Ash fall,Galeras,Colombia,COL,South America,Americas,Narino Province,,1.2 N,77.4 W,13:43,1993,1,14,1993,1,14,10,6,,,6,,,49.36133216
1979,Volcanic activity,Ash fall,Mt. Etna,Italy,ITA,Southern Europe,Europe,Sicily,,37.734,15.004,,1979,9,12,1979,9,12,9,24,,,24,,,24.79884057
2014,Volcanic activity,Ash fall,Mt. Kelud,Indonesia,IDN,South-Eastern Asia,Asia,"Bantul, Kota Yogyakarta, Kulonprogo, Sleman districts (Daerah Istimewa Yogyakarta province), Boyolali, Kebumen, Kota Magelang, Kota Surakarta, Magelang, Purworejo, Temanggung, Wonogiri districts (Jawa Tengah province), Blitar, Kediri, Kota Blitar, Kota Kediri, Kota Malang, Kota Surabaya, Malang, Pacitan, Ponorogo districts (Jawa Timur province), Kota Mataram district (Nusatenggara Barat province)",,-7.93,112.308,,2014,2,14,2014,2,14,7,70,83088,,83158,103000,127329,80.89262372
1988,Volcanic activity,Ash fall,Banda Api,Indonesia,IDN,South-Eastern Asia,Asia,Moluccas,,,,,1988,5,9,1988,5,9,7,,7500,2500,10000,,,40.40880605
1994,Volcanic activity,Ash fall,Mt. Semeru,Indonesia,IDN,South-Eastern Asia,Asia,Eastern Java,,8.1 S,112.9 E,,1994,2,3,1994,2,3,7,,2000,,2000,,,50.64840266
1993,Volcanic activity,Ash fall,Lascar,Chile,CHL,South America,Americas,,,,,,1993,4,19,1993,4,19,6,,350,,350,,,49.36133216
2007,Volcanic activity,Ash fall,,Yemen,YEM,Western Asia,Asia,"Jabal Al-Tayr island (Alluheyah district, Al Hudaydah province)",Earthquake,,,,2007,9,30,2007,9,30,6,15,,,15,,,70.8487927
2006,Volcanic activity,Ash fall,Tungurahua,Ecuador,ECU,South America,Americas,"Pelileo, Patate, Banos, Cevallos, Tisaleo, Mocha, Quero districts (Tungurahua province), Guano, Penipe districts (Chimborazo province) ; Bolivar, Pastaza, Los Rios, Guayas, Manabi provinces",,-1.467,-78.442,,2006,7,14,2006,8,17,5,13,300000,,300013,150000,217758,68.88375871
1994,Volcanic activity,Ash fall,Rabaul,Papua New Guinea,PNG,Melanesia,Oceania,Eastern New Britain,,-4.271,152.203,,1994,9,19,1994,9,19,5,2,106000,46000,152002,110000,217184,50.64840266
2007,Volcanic activity,Ash fall,Mount Arteale,Ethiopia,ETH,Eastern Africa,Africa,"Dayulu (Zone 1 district, Afar province), Gomoyta (Zone 4 district, Afar province)",,12.17,40.82,,2007,8,12,2007,8,12,5,,2000,,2000,,,70.8487927
2022,Volcanic activity,Ash fall,Hunga-Tonga-Hunga-Ha'apai,Tonga,TON,Polynesia,Oceania,Hunga Tonga-Hunga Ha?apai; Nuku?alofa; Uoleva; Uiha and Nomuka,,,,,2022,1,15,2022,1,15,4,,84176,,84176,118000,118000,100
1964,Volcanic activity,Ash fall,,Chile,CHL,South America,Americas,Villarica,,,,,1964,3,2,1964,3,2,4,,2000,,2000,,,10.59837602
1996,Volcanic activity,Ash fall,Manam,Papua New Guinea,PNG,Melanesia,Oceania,Manam Isl.,,-4.08,145.037,,1996,12,4,1996,12,4,4,29,1500,,1529,,,53.59556085
1977,Volcanic activity,Ash fall,Mount Usu,Japan,JPN,Eastern Asia,Asia,Sapporo,,,,,1977,8,7,1977,8,7,3,,10000,,10000,22000,106230,20.7098325
1968,Volcanic activity,Ash fall,Mount Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Albay province, Luzon",,,,,1968,4,20,1968,4,20,3,,45000,6000,51000,5000,42068,11.88544651
2011,Volcanic activity,Ash fall,Mt. Gamalama,Indonesia,IDN,South-Eastern Asia,Asia,Kota Ternate district (Maluku Utara province),,0.8,127.33,,2011,12,4,2011,12,27,3,5,2368,,2373,,,76.86159538
1975,Volcanic activity,Ash fall,Mt Arenal,Costa Rica,CRI,Central America,Americas,,,,,,1975,6,,1975,6,,2,,,,,,,18.38912907
1979,Volcanic activity,Ash fall,Mount Soufriere,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,Northern,,,,,1979,4,13,1979,4,13,2,,20000,,20000,,,24.79884057
1993,Volcanic activity,Ash fall,Karangetang,Indonesia,IDN,South-Eastern Asia,Asia,Sangir Talaud Island,,6.3 S,106 E,,1993,1,25,1993,1,25,2,,452,,452,,,49.36133216
2004,Volcanic activity,Ash fall,Mt. Bromo,Indonesia,IDN,South-Eastern Asia,Asia,"Pasuruan, Probolinggo districts (Jawa Timur province)",,,,,2004,6,8,2004,6,8,2,5,20000,,20005,,,64.54132928
2005,Volcanic activity,Ash fall,Santa Ana (Ilamatepec),El Salvador,SLV,Central America,Americas,"Juayua, Nahuizalco districts (Sonsonate province), Santa Ana district (Santa Ana province), San Francisco Menendez, Ahuachapan districts (Ahuachapan province)",,13.852846,-89.63,,2005,10,1,2005,10,1,2,,2000,,2000,,,66.73105799
2022,Volcanic activity,Ash fall,Hunga-Tonga-Hunga-Ha'apai,Peru,PER,South America,Americas,Ventanilla district,,,,,2022,1,15,2022,1,15,2,,,,,,,100
2021,Volcanic activity,Lava flow,Cumbre Vieja volcano,Canary Is,SPI,Southern Europe,Europe,La Palma Island,,,,,2021,9,19,2021,12,25,1,,339,6549,6888,1000000,1080028,92.59019293
2020,Volcanic activity,Ash fall,Taal volcano,Philippines (the),PHL,South-Eastern Asia,Asia,"Batangas, Cavite, Laguna, Quezon provinces (Calabarzon Region)",,,,,2020,1,12,2020,1,22,1,,736802,,736802,66000,74631,88.43564081
1976,Volcanic activity,Ash fall,Cotopaxi,Ecuador,ECU,South America,Americas,Cotopaxi,,-0.677,-78.436,,1976,12,,1976,12,,1,,20000,5000,25000,,,19.44554409
1977,Volcanic activity,Ash fall,Mount Karthala,Comoros (the),COM,Eastern Africa,Africa,Grande Comore,,,,,1977,4,5,1977,4,5,1,,20000,5000,25000,,,20.7098325
1992,Volcanic activity,Ash fall,Cerro Negro,Nicaragua,NIC,Central America,Americas,"Esteli, Madriz, Somotillo, Jinotega",,12.5 N,86.7 W,23:30,1992,4,9,1992,4,16,1,75,300000,,300075,,,47.94612964
1993,Volcanic activity,Ash fall,Damar,Indonesia,IDN,South-Eastern Asia,Asia,Maluku Province,,,,,1993,1,21,1993,1,21,1,12,3000,,3012,,,49.36133216
1993,Volcanic activity,Ash fall,Unzen,Japan,JPN,Eastern Asia,Asia,Nagasaki,,32.75 N,130.3 E,,1993,6,23,1993,6,23,1,,4930,,4930,,,49.36133216
1997,Volcanic activity,Ash fall,Mt. Merapi,Indonesia,IDN,South-Eastern Asia,Asia,"Boyolali, Klaten, Magelang - Level 1 = Jawa Tengah and Yogyakarta",,7.32 S,110.26 E,,1997,1,17,1997,1,17,1,,3000,,3000,,,54.84845417
2005,Volcanic activity,Ash fall,Karthala,Comoros (the),COM,Eastern Africa,Africa,Ngazidja province,,,,,2005,11,24,2005,12,10,1,,245000,,245000,,,66.73105799
2010,Volcanic activity,Ash fall,Mt. Sinabung,Indonesia,IDN,South-Eastern Asia,Asia,"Suka Meriah, Guru Kinayan, Gamber, Kuta Gugung, Siragong-Grang, Bekerah, Simacem, Sukanalu, Naman, Kebayaken, Kuta Rayat, Kuta Mbelin villages (Karo district, Sumatera Utara province)",,3.17,98.392,0:15,2010,8,29,2010,9,7,1,1,15059,,15060,,,74.50944408
2015,Volcanic activity,Ash fall,Calbuco,Chile,CHL,South America,Americas,"Ensenada town (Llanquihue district, Los Lagos province)",,,,,2015,4,24,2015,4,30,,,4000,,4000,600000,740845,80.98857899
2018,Volcanic activity,Lava flow,Kilauea,United States of America (the),USA,Northern America,Americas,Hawa‹,,,,,2018,5,3,2018,5,30,,,2500,,2500,500000,582730,85.80302606
2021,Volcanic activity,Pyroclastic flow,La SouffriŠre,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,"Saint-David, Charlotte",,,,,2021,4,9,2021,4,30,,,13300,,13300,325000,351009,92.59019293
1983,Volcanic activity,Ash fall,Mt. Gamalama,Indonesia,IDN,South-Eastern Asia,Asia,,,,,,1983,9,9,1983,9,9,,,6334,,6334,149690,439834,34.03326363
2018,Volcanic activity,,Mount Etna,Italy,ITA,Southern Europe,Europe,"Acicatena, Acireale, Aci Sant?Antonio, Santa Venerina, Viagrande and Zafferana Etnea (Catane, Sicily)",,,,,2018,12,24,2018,12,26,,28,300,,328,115000,134028,85.80302606
2011,Volcanic activity,Ash fall,"Volcano ""Puyehue""",Argentina,ARG,South America,Americas,"San Martin de Los Andes town (Lacar district, Neuquen province), Bariloche district (Rio Negro province), Chubut province",,-40.59,-72.12,,2011,6,4,2011,6,17,,,3000,,3000,104000,135308,76.86159538
1945,Volcanic activity,Ash fall,Unsendake,Japan,JPN,Eastern Asia,Asia,,,,,,1945,,,1945,,,,,,,,80000,1297560,6.165418661
1983,Volcanic activity,Ash fall,Mt. Colo,Indonesia,IDN,South-Eastern Asia,Asia,Unauna Isl. (central Sulawesi),,,,,1983,7,14,1983,7,14,,,7101,,7101,25500,74927,34.03326363
1973,Volcanic activity,Ash fall,Eldafjell,Iceland,ISL,Northern Europe,Europe,Heimaey Is.,,,,,1973,1,23,1973,2,10,,,5200,,5200,24700,162806,15.17145282
1996,Volcanic activity,Ash fall,Grimsvotn,Iceland,ISL,Northern Europe,Europe,North,,64.42 N,17.33 W,,1996,10,1,1996,11,7,,,,,,16500,30786,53.59556085
1991,Volcanic activity,Ash fall,Hudson,Chile,CHL,South America,Americas,,,45.54 S,72.58 W,,1991,8,13,1991,8,13,,,62000,1200,63200,15000,32233,46.53662061
2001,Volcanic activity,Ash fall,Tungurahua,Ecuador,ECU,South America,Americas,"Quero, Cevallos, Mocha, San Pedro de Pelileo, Tisaleo districts (Tungurahua province), Penipe, Guano districts (Chimborazo province)",,-1.467,-78.442,,2001,8,14,2001,8,14,,,22770,,22770,10975,18139,60.50357889
2018,Volcanic activity,Lava flow,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Bacacay, Daraga, Legazpi, Ligao, Santo Domingo, Tabao, Camalig, Guinobatan, Malilipot municipalities (Bicol region, Albay province)",,,,,2018,1,13,2018,3,6,,,86056,,86056,3564,4154,85.80302606
2001,Volcanic activity,Ash fall,Mt. Etna,Italy,ITA,Southern Europe,Europe,"Nicolosi municipality (Catania Province, Sicilia Region)",,37.734,15.004,,2001,7,18,2001,7,18,,,,,,3100,5124,60.50357889
2000,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Legazpi City area (Albay district, Region V (Bicol region) province)",,13.257,123.685,,2000,2,24,2000,3,9,,,68426,,68426,2214,3763,58.84064849
1971,Volcanic activity,Ash fall,Cerro Negro,Nicaragua,NIC,Central America,Americas,"North West, near Managua",,,,,1971,2,3,1971,2,3,,,3000,600,3600,2000,14455,13.83598355
2001,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Legazpi City area (Albay district, Region V (Bicol region) province)",,,,,2001,7,25,2001,7,25,,,57645,,57645,1788,2955,60.50357889
1991,Volcanic activity,Ash fall,Mt. Lokon,Indonesia,IDN,South-Eastern Asia,Asia,"Minahasa (Tomohon district, North Sulawesi)",,1.36 N,124.79 E,9:31,1991,10,24,1991,10,24,,,7679,,7679,1000,2149,46.53662061
2001,Volcanic activity,Ash fall,Mt. Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,"Daraga, Bacacay, Sto Domingo, Daraga, Camalig, Ligao, Legazpi City, Tabaco, Malilipot, Guinobatan areas (Albay district, Region V (Bicol region) province)",,13.257,123.685,14:44,2001,5,24,2001,5,24,,,25576,,25576,792,1309,60.50357889
1995,Volcanic activity,Ash fall,Cerro Negro,Nicaragua,NIC,Central America,Americas,Leon,,12.5 N,86.7 W,,1995,11,21,1995,11,21,,,12000,,12000,722,1387,52.06929869
1976,Volcanic activity,Ash fall,Mount Taal,Philippines (the),PHL,South-Eastern Asia,Asia,40 miles South Manilla,,,,,1976,9,3,1976,9,3,,,11510,,11510,679,3492,19.44554409
1969,Volcanic activity,Ash fall,,Indonesia,IDN,South-Eastern Asia,Asia,"Flores, Timor, Sulawe",,,,,1969,,,1969,,,,,250000,,250000,200,1596,12.53467526
1975,Volcanic activity,Ash fall,El Sangay,Ecuador,ECU,South America,Americas,El Sangay,,,,,1975,7,8,1975,7,8,,,,,,,,18.38912907
1975,Volcanic activity,Ash fall,,Ecuador,ECU,South America,Americas,Cotapaxi,,,,,1975,12,,1975,12,,,,,,,,,18.38912907
1976,Volcanic activity,Ash fall,Mt Arenal,Costa Rica,CRI,Central America,Americas,,,,,,1976,10,21,1976,10,21,,,70000,,70000,,,19.44554409
1976,Volcanic activity,Ash fall,Mount Soufriere,Guadeloupe,GLP,Caribbean,Americas,,,,,,1976,8,30,1976,8,30,,3,75000,,75003,,,19.44554409
1943,Volcanic activity,Ash fall,Paricutin,Mexico,MEX,Central America,Americas,,,,,,1943,2,20,1943,2,20,,,3000,,3000,,,5.92609557
1946,Volcanic activity,Ash fall,Niuafo'ou,Tonga,TON,Polynesia,Oceania,Niuafo'ou,,,,,1946,,,1946,,,,,2500,,2500,,,6.678253854
1956,Volcanic activity,Ash fall,Mount Bezymianny,Soviet Union,SUN,Russian Federation,Europe,Kamchatka (Russian Federation),,,,,1956,3,20,1956,3,20,,,,,,,,9.288531531
1957,Volcanic activity,Ash fall,Manam,Papua New Guinea,PNG,Melanesia,Oceania,Manam,,-4.08,145.037,,1957,12,,1957,12,,,,3200,,3200,,,9.598904063
1960,Volcanic activity,Ash fall,Manam,Papua New Guinea,PNG,Melanesia,Oceania,Manam,,-4.08,145.037,,1960,3,17,1960,3,17,,,2000,,2000,,,10.10576299
1969,Volcanic activity,Ash fall,Mount Kanlaon,Philippines (the),PHL,South-Eastern Asia,Asia,,,,,,1969,10,5,1969,10,5,,,1700,,1700,,,12.53467526
1971,Volcanic activity,Ash fall,Tinakula,Solomon Islands,SLB,Melanesia,Oceania,Santa Cruz,,,,,1971,,,1971,,,,,6000,,6000,,,13.83598355
1977,Volcanic activity,Ash fall,La Fournaise,R‚union,REU,Eastern Africa,Africa,Sainte Rose,,,,,1977,4,8,1977,4,8,,,1000,,1000,,,20.7098325
1978,Volcanic activity,Ash fall,Mount Mayon,Philippines (the),PHL,South-Eastern Asia,Asia,Albay province,,,,,1978,5,,1978,5,,,,25000,,25000,,,22.29019504
1978,Volcanic activity,Ash fall,Bulusan,Philippines (the),PHL,South-Eastern Asia,Asia,Central,,,,,1978,8,,1978,8,,,,1000,,1000,,,22.29019504
1971,Volcanic activity,Ash fall,Mount Soufriere,Saint Vincent and the Grenadines,VCT,Caribbean,Americas,,,,,,1971,10,17,1971,10,17,,,2000,,2000,,,13.83598355
1983,Volcanic activity,Ash fall,Santiaquito,Guatemala,GTM,Central America,Americas,Near Quezaltenango,,,,,1983,7,6,1983,7,6,,,3500,,3500,,,34.03326363
